"","ID","Attrition"
"1",254,"Yes"
"2",398,"No"
"3",716,"Yes"
"4",733,"No"
"5",81,"No"
"6",162,"No"
"7",177,"No"
"8",178,"Yes"
"9",204,"Yes"
"10",287,"No"
"11",299,"Yes"
"12",313,"Yes"
"13",333,"No"
"14",380,"No"
"15",385,"No"
"16",433,"No"
"17",520,"No"
"18",530,"No"
"19",613,"Yes"
"20",625,"Yes"
"21",655,"No"
"22",28,"No"
"23",38,"No"
"24",244,"Yes"
"25",362,"Yes"
"26",363,"No"
"27",390,"No"
"28",439,"No"
"29",469,"Yes"
"30",539,"No"
"31",605,"Yes"
"32",614,"No"
"33",699,"No"
"34",751,"No"
"35",760,"No"
"36",851,"No"
"37",12,"No"
"38",15,"Yes"
"39",239,"No"
"40",550,"No"
"41",690,"No"
"42",701,"No"
"43",705,"No"
"44",765,"Yes"
"45",777,"No"
"46",6,"No"
"47",7,"No"
"48",19,"No"
"49",34,"No"
"50",36,"Yes"
"51",43,"Yes"
"52",46,"No"
"53",51,"Yes"
"54",52,"No"
"55",53,"No"
"56",66,"No"
"57",69,"Yes"
"58",101,"Yes"
"59",104,"Yes"
"60",111,"No"
"61",129,"No"
"62",149,"No"
"63",164,"No"
"64",170,"No"
"65",183,"No"
"66",185,"No"
"67",206,"Yes"
"68",209,"Yes"
"69",213,"No"
"70",219,"No"
"71",246,"No"
"72",260,"No"
"73",266,"No"
"74",267,"No"
"75",270,"No"
"76",306,"No"
"77",323,"No"
"78",324,"No"
"79",334,"No"
"80",340,"Yes"
"81",342,"No"
"82",353,"No"
"83",357,"No"
"84",371,"No"
"85",376,"No"
"86",396,"Yes"
"87",427,"No"
"88",428,"No"
"89",446,"No"
"90",455,"Yes"
"91",462,"No"
"92",466,"No"
"93",470,"No"
"94",473,"No"
"95",481,"No"
"96",482,"No"
"97",488,"No"
"98",492,"No"
"99",521,"No"
"100",525,"No"
"101",536,"No"
"102",542,"Yes"
"103",563,"No"
"104",590,"Yes"
"105",591,"No"
"106",604,"No"
"107",609,"Yes"
"108",617,"No"
"109",620,"No"
"110",631,"No"
"111",636,"No"
"112",642,"No"
"113",656,"No"
"114",684,"No"
"115",709,"No"
"116",713,"No"
"117",723,"Yes"
"118",746,"Yes"
"119",750,"No"
"120",756,"Yes"
"121",759,"No"
"122",766,"Yes"
"123",790,"No"
"124",800,"No"
"125",809,"No"
"126",819,"No"
"127",829,"No"
"128",837,"No"
"129",846,"No"
"130",850,"No"
"131",859,"Yes"
"132",14,"No"
"133",63,"No"
"134",90,"No"
"135",148,"Yes"
"136",205,"No"
"137",317,"No"
"138",356,"Yes"
"139",383,"No"
"140",384,"Yes"
"141",391,"No"
"142",608,"No"
"143",673,"No"
"144",696,"No"
"145",763,"No"
"146",785,"No"
"147",828,"No"
